id,user_id,menu_id,menu_name,description,options,created_at,updated_at
1,7f99eac4-78e5-4eac-a1c3-bf02d466df07,tom,Tom,Define o tom de comunicação do prompt,"[{""label"":""Formal"",""value"":""formal"",""subOptions"":[{""label"":""Corporativo"",""value"":""corporativo""},{""label"":""Acadêmico"",""value"":""academico""},{""label"":""Jurídico"",""value"":""juridico""}]},{""label"":""Informal"",""value"":""informal"",""subOptions"":[{""label"":""Conversacional"",""value"":""conversacional""},{""label"":""Humorístico"",""value"":""humoristico""}]},{""label"":""Técnico"",""value"":""tecnico"",""subOptions"":[{""label"":""Conciso"",""value"":""conciso""},{""label"":""Detalhado"",""value"":""detalhado""},{""label"":""Acadêmico"",""value"":""academico""}]},{""label"":""Didático"",""value"":""didatico"",""subOptions"":[]},{""label"":""Persuasivo"",""value"":""persuasivo"",""subOptions"":[]},{""label"":""Neutro"",""value"":""neutro"",""subOptions"":[]}]",2026-02-12 23:44:07.843926+00,2026-02-12 23:44:07.843926+00
2,7f99eac4-78e5-4eac-a1c3-bf02d466df07,publico,Público,Define o público-alvo do prompt,"[{""label"":""Desenvolvedores"",""value"":""desenvolvedores"",""subOptions"":[{""label"":""Júnior"",""value"":""junior""},{""label"":""Sênior"",""value"":""senior""},{""label"":""Full Stack"",""value"":""fullstack""}]},{""label"":""Executivos"",""value"":""executivos"",""subOptions"":[]},{""label"":""Estudantes"",""value"":""estudantes"",""subOptions"":[{""label"":""Ensino Médio"",""value"":""ensino_medio""},{""label"":""Graduação"",""value"":""graduacao""},{""label"":""Pós-Graduação"",""value"":""pos_graduacao""}]},{""label"":""Público Geral"",""value"":""publico_geral"",""subOptions"":[]},{""label"":""Especialistas"",""value"":""especialistas"",""subOptions"":[]},{""label"":""Crianças"",""value"":""criancas"",""subOptions"":[]}]",2026-02-12 23:44:08.036945+00,2026-02-12 23:44:08.036945+00
3,7f99eac4-78e5-4eac-a1c3-bf02d466df07,idioma,Idioma,Define o idioma de resposta do prompt,"[{""label"":""Português (BR)"",""value"":""pt-br"",""subOptions"":[]},{""label"":""Inglês"",""value"":""en"",""subOptions"":[{""label"":""Americano"",""value"":""en-us""},{""label"":""Britânico"",""value"":""en-gb""}]},{""label"":""Espanhol"",""value"":""es"",""subOptions"":[]},{""label"":""Francês"",""value"":""fr"",""subOptions"":[]},{""label"":""Alemão"",""value"":""de"",""subOptions"":[]}]",2026-02-12 23:44:08.216397+00,2026-02-12 23:44:08.216397+00
4,7f99eac4-78e5-4eac-a1c3-bf02d466df07,estilo,Estilo,Define o estilo de formatação da saída,"[{""label"":""Conciso"",""value"":""conciso"",""subOptions"":[]},{""label"":""Detalhado"",""value"":""detalhado"",""subOptions"":[{""label"":""Com exemplos"",""value"":""com_exemplos""},{""label"":""Com referências"",""value"":""com_referencias""}]},{""label"":""Passo a passo"",""value"":""passo_a_passo"",""subOptions"":[]},{""label"":""Lista"",""value"":""lista"",""subOptions"":[]},{""label"":""Narrativo"",""value"":""narrativo"",""subOptions"":[{""label"":""Storytelling"",""value"":""storytelling""},{""label"":""Metáforas"",""value"":""metaforas""}]},{""label"":""Comparativo"",""value"":""comparativo"",""subOptions"":[]}]",2026-02-12 23:44:08.402834+00,2026-02-12 23:44:08.402834+00
5,7f99eac4-78e5-4eac-a1c3-bf02d466df07,pecas,TIPOS DE PEÇAS,Quais formatos de peças para criação da cena?,"[{""label"":""Impresso"",""value"":""impresso"",""subOptions"":[{""label"":""Cartaz"",""value"":""cartaz""},{""label"":""Pôster"",""value"":""poster""},{""label"":""Flyer"",""value"":""flyer""},{""label"":""Panfleto"",""value"":""panfleto""},{""label"":""Folder"",""value"":""folder""},{""label"":""Catálogo"",""value"":""catalogo""},{""label"":""Revista"",""value"":""revista""},{""label"":""Jornal (Anúncio)"",""value"":""jornal_anuncio""},{""label"":""Outdoor"",""value"":""outdoor""},{""label"":""Painel Publicitário"",""value"":""painel_publicitario""},{""label"":""Banner Impresso"",""value"":""banner_impresso""},{""label"":""Faixa"",""value"":""faixa""},{""label"":""Backdrop"",""value"":""backdrop""},{""label"":""Adesivo"",""value"":""adesivo""},{""label"":""Etiqueta"",""value"":""etiqueta""},{""label"":""Embalagem"",""value"":""embalagem""},{""label"":""Rótulo"",""value"":""rotulo""},{""label"":""Display de PDV"",""value"":""display_pdv""},{""label"":""Totem"",""value"":""totem""},{""label"":""Wobbler"",""value"":""wobbler""},{""label"":""Stopper"",""value"":""stopper""}]},{""label"":""Papelaria"",""value"":""papelaria"",""subOptions"":[{""label"":""Cartão de Visita"",""value"":""cartao_visita""},{""label"":""Papel Timbrado"",""value"":""papel_timbrado""},{""label"":""Envelope"",""value"":""envelope""},{""label"":""Pasta Institucional"",""value"":""pasta_institucional""},{""label"":""Bloco de Notas"",""value"":""bloco_notas""},{""label"":""Crachá"",""value"":""cracha""},{""label"":""Assinatura de E-mail"",""value"":""assinatura_email""},{""label"":""Cartão de Agradecimento"",""value"":""cartao_agradecimento""},{""label"":""Ficha Técnica"",""value"":""ficha_tecnica""},{""label"":""Ficha de Produto"",""value"":""ficha_produto""},{""label"":""Manual de Marca"",""value"":""manual_marca""},{""label"":""Guia Rápido"",""value"":""guia_rapido""},{""label"":""Certificado"",""value"":""certificado""}]},{""label"":""Web / Digital"",""value"":""web"",""subOptions"":[{""label"":""Banner para Site"",""value"":""banner_site""},{""label"":""Banner Animado"",""value"":""banner_animado""},{""label"":""Pop-up"",""value"":""popup""},{""label"":""Landing Page"",""value"":""landing_page""},{""label"":""Página Institucional"",""value"":""pagina_institucional""},{""label"":""Hotsite"",""value"":""hotsite""},{""label"":""Email Marketing"",""value"":""email_marketing""},{""label"":""Newsletter"",""value"":""newsletter""},{""label"":""Assinatura de E-mail Digital"",""value"":""assinatura_email_digital""},{""label"":""Apresentação Digital"",""value"":""apresentacao_digital""},{""label"":""PDF Institucional"",""value"":""pdf_institucional""},{""label"":""E-book"",""value"":""ebook""},{""label"":""Whitepaper"",""value"":""whitepaper""},{""label"":""Infográfico"",""value"":""infografico""},{""label"":""Case Digital"",""value"":""case_digital""},{""label"":""Media Kit Digital"",""value"":""media_kit_digital""}]},{""label"":""Social Media"",""value"":""social_media"",""subOptions"":[{""label"":""Post Estático"",""value"":""post_estatico""},{""label"":""Post Carrossel"",""value"":""post_carrossel""},{""label"":""Post Motion"",""value"":""post_motion""},{""label"":""Story"",""value"":""story""},{""label"":""Story Animado"",""value"":""story_animado""},{""label"":""Reels"",""value"":""reels""},{""label"":""Vídeo Curto"",""value"":""video_curto""},{""label"":""Capa de Perfil"",""value"":""capa_perfil""},{""label"":""Capa de Destaque"",""value"":""capa_destaque""},{""label"":""Anúncio Patrocinado"",""value"":""anuncio_patrocinado""},{""label"":""Criativo para Ads"",""value"":""criativo_ads""},{""label"":""Thumbnail"",""value"":""thumbnail""},{""label"":""GIF"",""value"":""gif""},{""label"":""Sticker"",""value"":""sticker""}]},{""label"":""Vídeo / Audiovisual"",""value"":""video"",""subOptions"":[{""label"":""Vídeo Institucional"",""value"":""video_institucional""},{""label"":""Vídeo Manifesto"",""value"":""video_manifesto""},{""label"":""Vídeo Publicitário"",""value"":""video_publicitario""},{""label"":""Comercial para TV"",""value"":""comercial_tv""},{""label"":""Vídeo para Internet"",""value"":""video_internet""},{""label"":""Vídeo Vertical"",""value"":""video_vertical""},{""label"":""Vídeo Horizontal"",""value"":""video_horizontal""},{""label"":""Vídeo Quadrado"",""value"":""video_quadrado""},{""label"":""Vídeo de Produto"",""value"":""video_produto""},{""label"":""Vídeo Demonstrativo"",""value"":""video_demonstrativo""},{""label"":""Vídeo Explicativo"",""value"":""video_explicativo""},{""label"":""Vídeo Educativo"",""value"":""video_educativo""},{""label"":""Vídeo de Treinamento"",""value"":""video_treinamento""},{""label"":""Vídeo para Evento"",""value"":""video_evento""},{""label"":""Vídeo de Bastidores"",""value"":""video_bastidores""},{""label"":""Motion Graphics"",""value"":""motion_graphics""},{""label"":""Animação 2D"",""value"":""animacao_2d""},{""label"":""Animação 3D"",""value"":""animacao_3d""}]},{""label"":""Criação / Conteúdo"",""value"":""criacao"",""subOptions"":[{""label"":""Roteiro"",""value"":""roteiro""},{""label"":""Roteiro de Vídeo"",""value"":""roteiro_video""},{""label"":""Roteiro para Reels"",""value"":""roteiro_reels""},{""label"":""Roteiro para Stories"",""value"":""roteiro_stories""},{""label"":""Argumento Criativo"",""value"":""argumento_criativo""},{""label"":""Conceito Criativo"",""value"":""conceito_criativo""},{""label"":""Ideia de Campanha"",""value"":""ideia_campanha""},{""label"":""Linha Criativa"",""value"":""linha_criativa""},{""label"":""Naming"",""value"":""naming""},{""label"":""Slogan"",""value"":""slogan""},{""label"":""Tagline"",""value"":""tagline""},{""label"":""Texto Publicitário"",""value"":""texto_publicitario""},{""label"":""Copy para Anúncios"",""value"":""copy_anuncios""},{""label"":""Copy para Redes Sociais"",""value"":""copy_redes_sociais""},{""label"":""Storyboard"",""value"":""storyboard""},{""label"":""Moodboard"",""value"":""moodboard""}]}]",2026-02-12 23:44:08.599995+00,2026-02-12 23:44:08.599995+00
6,7f99eac4-78e5-4eac-a1c3-bf02d466df07,cenas,TIPOS DE CENA,Qual tipo de cena/ambientação você quer gerar para aplicar a peça publicitária?,"[{""label"":""Dispositivos Digitais"",""value"":""dispositivos_digitais"",""subOptions"":[{""label"":""Celular sobre mesa de trabalho"",""value"":""celular_mesa_trabalho""},{""label"":""Celular sobre mesa de café"",""value"":""celular_mesa_cafe""},{""label"":""Mão segurando celular em pé"",""value"":""mao_segurando_celular_em_pe""},{""label"":""Mão segurando celular sentado"",""value"":""mao_segurando_celular_sentado""},{""label"":""Notebook em mesa de escritório"",""value"":""notebook_mesa_escritorio""},{""label"":""Desktop em estação de trabalho"",""value"":""desktop_estacao_trabalho""},{""label"":""Tablet em ambiente criativo"",""value"":""tablet_ambiente_criativo""},{""label"":""Setup com múltiplas telas"",""value"":""setup_multiplas_telas""},{""label"":""Celular sobre bancada de cozinha"",""value"":""celular_bancada_cozinha""},{""label"":""Celular em banco de praça"",""value"":""celular_banco_praca""},{""label"":""Celular no painel do carro"",""value"":""celular_painel_carro""},{""label"":""Smartwatch exibindo notificação"",""value"":""smartwatch_notificacao""},{""label"":""Notebook em cafeteria com reflexo urbano"",""value"":""notebook_cafeteria_reflexo""},{""label"":""Celular sobre mala em aeroporto"",""value"":""celular_mala_aeroporto""},{""label"":""Celular na mesa de cabeceira à noite"",""value"":""celular_cabeceira_noite""}]},{""label"":""Social Media no Cotidiano"",""value"":""social_cotidiano"",""subOptions"":[{""label"":""Pessoa rolando feed no sofá"",""value"":""pessoa_rolando_feed_sofa""},{""label"":""Selfie com celular mostrando post"",""value"":""selfie_celular_mostrando_post""},{""label"":""Grupo de amigos vendo tela do celular"",""value"":""grupo_amigos_vendo_celular""},{""label"":""Pessoa em café olhando Instagram"",""value"":""pessoa_cafe_instagram""},{""label"":""Pessoa no transporte público olhando post"",""value"":""pessoa_transporte_publico_post""},{""label"":""Pessoa deitada interagindo com stories"",""value"":""pessoa_deitada_stories""},{""label"":""Pessoa mostrando post para atendente"",""value"":""pessoa_mostrando_post_loja""},{""label"":""Pessoa usando celular na fila"",""value"":""pessoa_fila_celular""},{""label"":""Casal comparando posts"",""value"":""casal_comparando_posts""},{""label"":""Pessoa reagindo a post"",""value"":""pessoa_reagindo_post""}]},{""label"":""Mesa de Escritório / Papelaria"",""value"":""mesa_escritorio_papelaria"",""subOptions"":[{""label"":""Mesa minimalista com papelaria"",""value"":""mesa_minimalista_papelaria""},{""label"":""Cartões de visita sobre madeira"",""value"":""cartoes_visita_madeira""},{""label"":""Kit papelaria corporativa completo"",""value"":""kit_papelaria_corporativa""},{""label"":""Mesa com notebook, bloco e caneta"",""value"":""mesa_notebook_bloco_caneta""},{""label"":""Mesa de criação com materiais gráficos"",""value"":""mesa_criacao_materiais_graficos""},{""label"":""Moodboard com peça aplicada"",""value"":""moodboard_peca_aplicada""},{""label"":""Envelope personalizado aberto"",""value"":""envelope_personalizado_aberto""},{""label"":""Planner com anúncio aplicado"",""value"":""planner_anuncio_aplicado""},{""label"":""Sketchbook com layout impresso"",""value"":""sketchbook_layout_impresso""},{""label"":""Flat lay com materiais gráficos"",""value"":""flat_lay_materiais_graficos""}]},{""label"":""Mídia Externa / Outdoor"",""value"":""midia_externa"",""subOptions"":[{""label"":""Outdoor em avenida movimentada de dia"",""value"":""outdoor_avenida_dia""},{""label"":""Outdoor em avenida movimentada à noite"",""value"":""outdoor_avenida_noite""},{""label"":""Painel em ponto de ônibus"",""value"":""painel_ponto_onibus""},{""label"":""Mídia em estação de metrô"",""value"":""midia_estacao_metro""},{""label"":""Painel em shopping center"",""value"":""painel_shopping_center""},{""label"":""Empena lateral de prédio"",""value"":""empena_predio""},{""label"":""Painel digital em aeroporto"",""value"":""painel_digital_aeroporto""},{""label"":""Mídia em elevador corporativo"",""value"":""midia_elevador_corporativo""},{""label"":""Adesivagem em ônibus urbano"",""value"":""adesivagem_onibus_urbano""},{""label"":""Painel LED em festival"",""value"":""painel_led_festival""}]},{""label"":""Loja / Varejo / PDV"",""value"":""loja_varejo_pdv"",""subOptions"":[{""label"":""Prateleira de mercado com embalagem"",""value"":""prateleira_mercado_embalagem""},{""label"":""Balcão de loja com display"",""value"":""balcao_loja_display""},{""label"":""Ilha de produto em supermercado"",""value"":""ilha_produto_supermercado""},{""label"":""Loja de rua com vitrine"",""value"":""loja_rua_vitrine""},{""label"":""Sacola personalizada em uso"",""value"":""sacola_personalizada_uso""},{""label"":""Totem digital interativo"",""value"":""totem_digital_interativo""},{""label"":""Caixa de checkout com branding"",""value"":""checkout_branding""},{""label"":""Provador com comunicação visual"",""value"":""provador_comunicacao_visual""},{""label"":""Tela de autoatendimento com campanha"",""value"":""tela_autoatendimento_campanha""}]}]",2026-02-18 00:59:13.791111+00,2026-02-18 00:59:13.791111+00
7,7f99eac4-78e5-4eac-a1c3-bf02d466df07,arte-direction,Nível de Direção de Arte,Qual tipo de design você quer gerar para aplicar a peça publicitária?,"[{""label"":""Minimalista"",""value"":""minimalista"",""subOptions"":[{""label"":""Fundo neutro"",""value"":""fundo_neutro""},{""label"":""Poucos elementos"",""value"":""poucos_elementos""},{""label"":""Espaço negativo dominante"",""value"":""espaco_negativo_dominante""},{""label"":""Paleta reduzida"",""value"":""paleta_reduzida""},{""label"":""Luz suave e difusa"",""value"":""luz_suave_difusa""}]},{""label"":""Premium / Sofisticado"",""value"":""premium"",""subOptions"":[{""label"":""Materiais nobres (mármore, vidro, metal escovado)"",""value"":""materiais_nobres""},{""label"":""Iluminação dramática"",""value"":""iluminacao_dramatica""},{""label"":""Sombras marcadas"",""value"":""sombras_marcadas""},{""label"":""Ambiente elegante"",""value"":""ambiente_elegante""},{""label"":""Composição refinada"",""value"":""composicao_refinada""}]},{""label"":""Urbano / Contemporâneo"",""value"":""urbano"",""subOptions"":[{""label"":""Texturas de concreto e metal"",""value"":""texturas_concreto_metal""},{""label"":""Ambiente de cidade"",""value"":""ambiente_cidade""},{""label"":""Luz natural contrastada"",""value"":""luz_natural_contrastada""},{""label"":""Elementos reais do cotidiano"",""value"":""elementos_reais_cotidiano""},{""label"":""Estética moderna"",""value"":""estetica_moderna""}]},{""label"":""Orgânico / Natural"",""value"":""organico"",""subOptions"":[{""label"":""Madeira, tecido, plantas"",""value"":""madeira_tecido_plantas""},{""label"":""Luz natural quente"",""value"":""luz_natural_quente""},{""label"":""Ambiente acolhedor"",""value"":""ambiente_acolhedor""},{""label"":""Texturas naturais"",""value"":""texturas_naturais""},{""label"":""Clima leve e humano"",""value"":""clima_leve_humano""}]},{""label"":""Tech / Futurista"",""value"":""tech"",""subOptions"":[{""label"":""Iluminação LED"",""value"":""iluminacao_led""},{""label"":""Reflexos digitais"",""value"":""reflexos_digitais""},{""label"":""Ambiente high-tech"",""value"":""ambiente_hightech""},{""label"":""Cores frias"",""value"":""cores_frias""},{""label"":""Estética clean tecnológica"",""value"":""estetica_clean_tecnologica""}]},{""label"":""Criativo / Experimental"",""value"":""criativo"",""subOptions"":[{""label"":""Composição não convencional"",""value"":""composicao_nao_convencional""},{""label"":""Perspectiva ousada"",""value"":""perspectiva_ousada""},{""label"":""Mistura de materiais"",""value"":""mistura_materiais""},{""label"":""Elementos gráficos integrados"",""value"":""elementos_graficos_integrados""},{""label"":""Iluminação artística"",""value"":""iluminacao_artistica""}]},{""label"":""Editorial / Cinematográfico"",""value"":""editorial"",""subOptions"":[{""label"":""Narrativa visual"",""value"":""narrativa_visual""},{""label"":""Profundidade de campo"",""value"":""profundidade_campo""},{""label"":""Luz direcional"",""value"":""luz_direcional""},{""label"":""Atmosfera dramática"",""value"":""atmosfera_dramatica""},{""label"":""Composição de storytelling"",""value"":""composicao_storytelling""}]}]",2026-02-18 00:59:14.165718+00,2026-02-18 00:59:14.165718+00
8,d102bfec-477c-46b4-9f8d-d00a034f3739,tom,Tom,Define o tom de comunicação do prompt,"[{""label"":""Formal"",""value"":""formal"",""subOptions"":[{""label"":""Corporativo"",""value"":""corporativo""},{""label"":""Acadêmico"",""value"":""academico""},{""label"":""Jurídico"",""value"":""juridico""}]},{""label"":""Informal"",""value"":""informal"",""subOptions"":[{""label"":""Conversacional"",""value"":""conversacional""},{""label"":""Humorístico"",""value"":""humoristico""}]},{""label"":""Técnico"",""value"":""tecnico"",""subOptions"":[{""label"":""Conciso"",""value"":""conciso""},{""label"":""Detalhado"",""value"":""detalhado""},{""label"":""Acadêmico"",""value"":""academico""}]},{""label"":""Didático"",""value"":""didatico"",""subOptions"":[]},{""label"":""Persuasivo"",""value"":""persuasivo"",""subOptions"":[]},{""label"":""Neutro"",""value"":""neutro"",""subOptions"":[]}]",2026-02-18 03:49:53.050246+00,2026-02-18 03:49:53.050246+00
9,d102bfec-477c-46b4-9f8d-d00a034f3739,publico,Público,Define o público-alvo do prompt,"[{""label"":""Desenvolvedores"",""value"":""desenvolvedores"",""subOptions"":[{""label"":""Júnior"",""value"":""junior""},{""label"":""Sênior"",""value"":""senior""},{""label"":""Full Stack"",""value"":""fullstack""}]},{""label"":""Executivos"",""value"":""executivos"",""subOptions"":[]},{""label"":""Estudantes"",""value"":""estudantes"",""subOptions"":[{""label"":""Ensino Médio"",""value"":""ensino_medio""},{""label"":""Graduação"",""value"":""graduacao""},{""label"":""Pós-Graduação"",""value"":""pos_graduacao""}]},{""label"":""Público Geral"",""value"":""publico_geral"",""subOptions"":[]},{""label"":""Especialistas"",""value"":""especialistas"",""subOptions"":[]},{""label"":""Crianças"",""value"":""criancas"",""subOptions"":[]}]",2026-02-18 03:49:53.227045+00,2026-02-18 03:49:53.227045+00
10,d102bfec-477c-46b4-9f8d-d00a034f3739,idioma,Idioma,Define o idioma de resposta do prompt,"[{""label"":""Português (BR)"",""value"":""pt-br"",""subOptions"":[]},{""label"":""Inglês"",""value"":""en"",""subOptions"":[{""label"":""Americano"",""value"":""en-us""},{""label"":""Britânico"",""value"":""en-gb""}]},{""label"":""Espanhol"",""value"":""es"",""subOptions"":[]},{""label"":""Francês"",""value"":""fr"",""subOptions"":[]},{""label"":""Alemão"",""value"":""de"",""subOptions"":[]}]",2026-02-18 03:49:53.397924+00,2026-02-18 03:49:53.397924+00
